package_name,dependents
json-stable-stringify,752
webpack-node-externals,746
requirejs,744
regenerator-runtime,740
xmlbuilder,740
unzip,734
path-exists,732
rollup-plugin-commonjs,725
throttle-debounce,722
user-home,721
cron,720
xmlhttprequest,719
faker,716
systemjs,714
inflection,714
canvas,712
get-stdin,709
babel-types,708
read-pkg-up,705
graphql-tools,705
@types/jest,703
escape-html,700
broccoli-merge-trees,700
ssh2,699
sax,699
child_process,695
leaflet,691
wrench,690
rx,689
ethereumjs-util,687
jimp,687
enzyme,685
prettyjson,684
image-size,684
bfj,683
micromatch,680
gulp-watch,679
redux-actions,678
lit-element,677
discord.js,670
gulp-less,667
jshint,667
vinyl-source-stream,665
send,663
mysql2,659
@types/jquery,653
user,652
slash,652
es6-shim,649
watch,649
debounce,647
d3-scale,647
babel-helper-vue-jsx-merge-props,647
file-saver,644
pull-stream,643
lodash.omit,642
koa-compose,638
chart.js,637
gulp-replace,633
shallowequal,633
cli-spinner,633
object-path,632
react-intl,632
mobx-react,631
webpack-sources,631
flat,630
methods,629
jasmine,629
jest-watch-typeahead,629
react-dnd,628
object-hash,627
eslint-plugin-babel,626
parse5,626
friendly-errors-webpack-plugin,625
gulp-template,622
broccoli-funnel,622
@emotion/core,619
lodash.pick,614
listr,614
text-table,612
babel-plugin-transform-es2015-modules-commonjs,612
lodash.set,609
watchify,608
estraverse,607
unist-util-visit,606
@fortawesome/fontawesome-svg-core,605
@angular/compiler-cli,604
strip-json-comments,601
randomstring,599
node-emoji,598
react-addons-css-transition-group,597
clui,596
babel-plugin-import,596
tslint-react,596
errorhandler,595
blessed,594
electron,593
eslint-plugin-jest,593
bytes,592
deasync,590
vue-hot-reload-api,590
swig,588
jest-pnp-resolver,588
node-schedule,588
rollup-plugin-babel,587
figures,585
oauth,583
nedb,583
detect-port,583
liftoff,582
@types/fs-extra,581
get-port,580
stylelint-config-standard,578
gulp-imagemin,574
husky,574
@babel/register,573
gulp-install,573
gzip-size,573
node-gyp,572
node-forge,571
grunt-contrib-clean,571
pm2,570
plist,569
polished,568
@fortawesome/free-solid-svg-icons,567
ts-jest,567
react-test-renderer,566
grunt-contrib-watch,566
loglevel,564
on-finished,563
fs-promise,563
levelup,563
nomnom,560
@angular-devkit/core,560
react-dnd-html5-backend,560
react-motion,560
command-line-usage,559
readline,558
grunt-contrib-uglify,556
csv-parse,555
js-base64,554
level,553
dayjs,552
parseurl,551
babel-preset-stage-1,550
read,550
lodash.defaults,550
requireindex,546
tough-cookie,546
cli,545
emotion,545
map-stream,544
fancy-log,544
gulp-load-plugins,542
svgo,542
cross-fetch,542
is-plain-object,541
source-map-loader,540
@octokit/rest,538
multimatch,537
pretty-bytes,537
urijs,535
i18next,534
@babel/types,534
html-entities,533
cosmiconfig,532
pino,532
verror,531
gulp-notify,529
merge-stream,529
npm-run-all,529
stylus-loader,527
@babel/preset-typescript,526
grpc,525
he,524
supports-color,524
vue-style-loader,524
create-hash,523
touch,523
csv,520
tslint-config-prettier,520
lodash.camelcase,519
log-update,519
lodash.isplainobject,519
apollo-client,518
gulp-conflict,518
@types/cordova,516
mathjs,516
inversify,515
react-dropzone,515
yargs-parser,514
babel-traverse,514
babel-plugin-syntax-dynamic-import,512
raw-body,511
@babel/runtime-corejs2,511
sync-request,510
@types/jasmine,510
valid-url,509
react-tap-event-plugin,507
babel-plugin-transform-react-remove-prop-types,506
draft-js,505
cuid,504
slug,504
bcrypt-nodejs,504
@babel/parser,504
jwt-decode,503
postcss-cssnext,502
react-icons,502
install,502
basic-auth,501
memory-fs,500
d3-selection,500
@angular-devkit/schematics,500
es6-promisify,500
react-modal,499
redux-form,499
lodash.uniq,498
gulp-postcss,498
karma-chrome-launcher,498
fast-glob,496
file-type,495
child-process-promise,494
babel-plugin-transform-react-jsx,493
phantomjs-prebuilt,493
@angular/platform-server,493
brfs,491
tar-fs,488
clipboard,487
nyc,486
phantomjs,484
vinyl-buffer,484
clipboardy,483
lodash.isfunction,482
btoa,481
rxjs-compat,478
fork-ts-checker-webpack-plugin,478
@types/request,476
recast,476
d3-array,476
gulp-jshint,475
base-64,475
make-dir,475
https,474
sanitize-filename,473
bip39,472
vue-class-component,471
needle,471
keycode,470
grunt-contrib-copy,469
selenium-webdriver,469
opener,468
common-tags,467
is-wsl,467
koa-body,466
lodash.isstring,465
lodash.template,465
nodegit,465
command-exists,464
fstream,463
node-cache,463
node-watch,462
convert-source-map,460
@types/uuid,460
imagemin,460
gulp-filter,460
vue-property-decorator,459
gaze,459
supertest,458
stack-trace,457
gulp-clean-css,457
chance,455
gulp-typescript,455
lowdb,455
generic-pool,455
assert-plus,455
eslint-plugin-vue,455
gulp-minify-css,454
is-url,454
urllib,453
babel-generator,450
immer,449
sha1,449
grunt-contrib-jshint,449
mockjs,449
node.extend,449
connect-redis,448
babel-plugin-module-resolver,447
prompts,447
memoize-one,446
shell-quote,446
hyperquest,446
https-proxy-agent,445
long,445
chai-as-promised,444
secp256k1,444
http-server,444
utf8,443
type-is,443
vorpal,440
rollup-pluginutils,439
finalhandler,439
tweetnacl,438
apollo-link,437
coveralls,437
d3-shape,436
postcss-normalize,433
showdown,433
promise-polyfill,433
node-pre-gyp,432
path-is-absolute,432
@fortawesome/react-fontawesome,432
preact,432
crc,431
babel-plugin-transform-async-to-generator,430
osenv,430
hiredis,429
lodash.isempty,428
@babel/traverse,428
serve-index,426
lodash.map,426
highland,425
localforage,425
winston-daily-rotate-file,425
deep-diff,424
passport-oauth,424
passport-strategy,423
iview,423
dom-helpers,423
tildify,423
ethereumjs-tx,423
babel-template,422
leveldown,422
gulp-eslint,421
rc-util,421
depd,421
content-type,421
nanoid,420
babel-plugin-syntax-jsx,420
bl,419
read-pkg,419
markdown,418
jest-environment-jsdom-fourteen,418
react-error-overlay,418
serialize-javascript,418
nprogress,416
accepts,416
bizcharts,412
require-all,411
base64-js,411
component-emitter,410
connect-flash,410
koa-logger,409
react-color,409
findup-sync,409
passport-oauth2,408
dockerode,408
enzyme-adapter-react-16,408
etag,408
immutability-helper,407
grunt-cli,406
front-matter,406
mssql,406
react-native-vector-icons,406
react-virtualized,405
fork-ts-checker-webpack-plugin-alt,405
slugify,405
node-dir,404
babel-plugin-transform-regenerator,404
keypress,404
@types/bluebird,403
lodash.foreach,403
grunt-contrib-concat,403
split2,402
extend-shallow,402
@phosphor/widgets,402
xregexp,401
awesome-typescript-loader,401
hash-sum,401
apollo-link-http,400
babel-preset-stage-3,399
restler,398
lodash.flatten,398
react-apollo,398
intl,398
babel-plugin-dynamic-import-node,397
uglify-es,396
react-lifecycles-compat,395
lint-staged,395
@babel/plugin-proposal-export-default-from,394
normalize-wheel,394
is-promise,393
pako,393
pngjs,393
utils-merge,392
gray-matter,392
postcss-nested,391
pretty-error,391
rc-slider,391
node-static,391
decompress,389
gh-pages,389
cli-table2,389
os,388
reactstrap,387
sanitize-html,387
extract-zip,387
gulp-shell,387
vue-i18n,387
@types/mocha,386
http-status-codes,386
hogan.js,385
quill,384
soap,382
randombytes,382
decamelize,381
bson,381
imagemin-pngquant,380
arrify,380
bytebuffer,379
xml2json,377
lodash.isobject,377
columnify,377
fluent-ffmpeg,376
xml-js,375
sockjs-client,374
@emotion/styled,374
resolve-from,373
es6-error,373
react-slick,373
typeorm,373
sprintf,372
apollo-cache-inmemory,372
babel-plugin-lodash,372
hexlet-pairs,371
pretty-ms,370
pouchdb,369
md5-file,369
react-markdown,368
is,368
yeoman-environment,368
progress-bar-webpack-plugin,368
left-pad,367
stylelint-order,366
follow-redirects,366
stylelint-scss,365
koa-mount,365
busboy,363
sinon-chai,363
jasmine-core,363
loose-envify,363
process,363
envify,363
bufferutil,362
normalize-url,362
angular-animate,361
tv4,361
karma-mocha,360
karma-phantomjs-launcher,360
ts-pnp,360
atob,360
connect-mongo,359
@jupyterlab/application,359
@babel/plugin-proposal-export-namespace-from,357
http-status,357
bulma,357
cli-ux,356
iniparser,356
nock,356
object.assign,356
flux,356
semantic-ui-react,355
fastclick,355
karma-jasmine,355
fuse.js,354
inert,354
jwt-simple,354
isobject,353
jsdoc,353
element-resize-detector,353
react-datepicker,352
standard,352
react-onclickoutside,352
react-addons-shallow-compare,352
dot,351
browserslist,351
firebase-admin,350
nib,350
fuzzy,349
word-wrap,349
ansi-colors,349
tracer,349
yaml,348
ansi-escapes,348
jquery-ui,348
raven,347
i,347
xhr,347
deep-assign,346
inquirer-autocomplete-prompt,346
xpath,346
fresh,346
